Player,Fairway Percentage,Year,gir,Average Putts,Average Scrambling,Average Score,Points,Rounds,Avg Distance
Robert Garrigus,56.37,2018,65.28,29.2,56.84,71.457,353,80.0,307.9
Nick Watney,56.33,2018,67.96,29.26,55.68,70.862,491,94.0,307.5
Rob Oppenheim,56.26,2018,64.05,28.91,59.55,71.532,148,74.0,285.2
Grayson Murray,56.0,2018,62.5,28.94,54.32,72.09100000000001,438,72.0,307.3
Rory McIlroy,55.79,2018,66.3,28.46,62.97,69.303,"1,154",48.0,317.5
Dominic Bozzelli,55.69,2018,60.94,28.18,58.86,71.179,190,65.0,297.0
Patton Kizzire,55.59,2018,69.04,29.53,55.24,70.84100000000001,"1,386",92.0,298.7
Matt Every,55.5,2018,64.59,29.24,52.51,72.044,113,79.0,294.2
Cody Gribble,55.45,2018,62.48,28.88,53.3,72.112,141,71.0,301.0
Wesley Bryan,55.41,2018,61.28,28.1,60.17,71.55199999999999,219,69.0,280.4
Lanto Griffin,55.27,2018,67.42,29.42,55.76,71.145,175,80.0,302.5
Retief Goosen,55.22,2018,61.75,29.12,56.98,71.40899999999999,261,60.0,296.2
Seamus Power,55.19,2018,65.17,28.68,63.8,70.869,377,86.0,302.6
Charl Schwartzel,55.19,2018,61.11,28.74,57.88,71.34899999999999,528,65.0,299.5
Patrick Reed,55.11,2018,63.57,28.33,62.94,70.10600000000001,"1,555",94.0,298.1
Tony Finau,55.09,2018,70.18,29.03,57.22,69.52,"1,509",74.0,302.0
Trey Mullinax,54.94,2018,65.38,29.13,54.42,70.815,528,64.0,311.8
Martin Flores,54.92,2018,66.34,29.36,54.89,71.458,215,92.0,300.0
Michael Kim,54.89,2018,60.63,28.54,56.05,71.66199999999999,675,92.0,300.7
Brandon Harkins,54.79,2018,65.67,28.86,55.88,70.721,528,101.0,303.1
Zecheng Dou,54.76,2018,63.72,30.0,51.56,72.773,21,53.0,291.9
Tom Lovelady,54.73,2018,67.08,29.56,52.08,71.252,332,87.0,315.9
Daniel Summerhays,54.69,2018,56.79,27.82,54.86,73.17699999999999,89,51.0,287.1
Luke List,54.66,2018,68.36,29.45,58.41,70.229,"1,080",66.0,310.9
Robert Streb,54.11,2018,64.94,29.51,52.89,71.905,155,78.0,292.6
Andrew Yun,53.58,2018,61.85,30.2,44.01,73.624,16,51.0,290.6
Jimmy Walker,53.49,2018,61.9,28.34,59.09,70.786,719,81.0,299.0
Aaron Baddeley,53.27,2018,63.39,28.85,61.09,70.85,342,84.0,295.3
Derek Fathauer,53.27,2018,60.35,28.46,54.99,71.827,316,84.0,289.1
Peter Uihlein,52.93,2018,67.88,29.41,57.87,70.578,593,83.0,302.2
Phil Mickelson,52.91,2018,64.88,28.11,58.36,70.098,"1,546",90.0,300.3
Kevin Tway,52.61,2018,66.88,29.15,56.77,70.8,577,110.0,310.1
Ollie Schniederjans,52.22,2018,62.77,28.44,56.95,70.641,573,91.0,301.4
Cameron Tringale,51.99,2018,65.52,29.81,55.24,72.146,88,67.0,289.3
Ricky Barnes,47.15,2018,63.75,28.25,57.4,71.663,164,65.0,290.6
